,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP,EToPM,EToHG,EToSJ,EToPM2,EToPT
1991-01-02,2.9,-0.3,4.5,2.5,,,86.0,,,6.1,,,0.2820612258752451,0.0,,
1991-01-03,7.7,4.3,11.7,6.3,,,86.0,,,9.1,,,0.4350844610002504,0.0,,
1991-01-04,6.6,5.3,9.4,1.7,,,92.0,,,9.0,,,0.31268891295270185,0.0,,
1991-01-05,3.8,2.7,6.2,0.2,,,73.0,,,5.9,,,0.25821026746094605,0.0,,
1991-01-06,4.4,2.3,6.4,0.0,,,65.0,,,5.4,,,0.290148874909582,0.0,,
1991-01-07,3.4,1.3,5.1,2.0,,,79.0,,,6.0,,,0.269601514497656,0.0,,
1991-01-08,5.5,2.8,7.6,0.0,,,75.0,,,6.5,,,0.3367528370924394,0.0,,
1991-01-09,7.4,5.4,7.7,0.4,,,67.0,,,6.7,,,0.2550664625582463,0.0,,
1991-01-10,12.2,6.4,15.7,2.0,,,66.0,,,8.3,,,0.6180341878593251,0.0,,
1991-01-11,7.7,6.4,15.0,1.2,,,72.0,,,7.6,,,0.5115630474487494,0.0,,
1991-01-12,3.7,2.4,8.3,0.0,,,68.0,,,5.9,,,0.36193087983015754,0.0,,
1991-01-13,0.3,-0.6,3.0,0.1,,,83.0,,,5.3,,,0.2412270724545668,0.0,,
1991-01-14,-2.4,-4.5,1.8,0.0,,,71.0,,,3.8,,,0.27529482182179715,0.0,,
1991-01-15,-4.0,-7.6,0.8,0.0,,,67.0,,,2.9,,,0.28893787794344467,0.0,,
1991-01-16,-2.0,-6.1,1.1,0.0,,,62.0,,,3.0,,,0.3107761921435088,0.0,,
1991-01-17,-1.9,-4.6,2.1,0.0,,,52.0,,,2.6,,,0.30623133042560524,0.0,,
1991-01-18,-0.1,-5.5,4.8,0.0,,,44.0,,,2.6,,,0.4291822952946757,0.0,,
1991-01-19,0.8,-3.5,6.8,0.0,,,38.0,,,2.4,,,0.45809186264476204,0.0,,
1991-01-20,-2.6,-6.0,1.8,0.0,,,54.0,,,2.8,,,0.3309874233326612,0.0,,
1991-01-21,-2.4,-5.7,-1.8,2.0,,,85.0,,,4.1,,,0.24098719716123998,0.0,,
1991-01-22,0.1,-2.0,0.6,0.0,,,92.0,,,5.5,,,0.23249527420526783,0.0,,
1991-01-23,-0.1,-0.3,0.6,0.0,,,98.0,,,6.0,,,0.13753335584589782,0.0,,
1991-01-24,-1.7,-2.4,-0.1,1.3,,,89.0,,,4.9,,,0.20339516456752968,0.0,,
